lat,lon,alt,date,device,os,version
40.4397735596,-3.69972133636,700.018432617,2012-04-27 02:05:52,"iPhone3,1",5.1,1.1
40.4466896057,-3.70391964912,708.008666992,2012-04-27 10:37:52,"iPhone3,1",5.1,1.1
40.4328308105,-3.71796441078,716.191955566,2012-04-27 11:05:36,"iPhone3,1",5.1,1.1
40.4163703918,-3.73564958572,607.200012207,2012-04-27 11:09:52,"iPhone3,1",5.1,1.1
40.3987083435,-3.77618575096,642.144165039,2012-04-27 11:16:16,"iPhone3,1",5.1,1.1
40.4022827148,-3.78337287903,673.090881348,2012-04-27 11:26:56,"iPhone3,1",5.1,1.1
40.3991966248,-3.77602434158,662.392028809,2012-04-27 11:44:00,"iPhone3,1",5.1,1.1
40.4173126221,-3.72191548347,680.749084473,2012-04-27 11:50:24,"iPhone3,1",5.1,1.1
40.4316177368,-3.71168613434,681.108520508,2012-04-27 11:54:40,"iPhone3,1",5.1,1.1
40.4431915283,-3.70126485825,710,2012-04-27 13:32:48,"iPhone3,1",5.1,1.1
40.4386558533,-3.69930839539,701.470092773,2012-04-27 13:52:00,"iPhone3,1",5.1,1.1
40.4381446838,-3.69246554375,691.991394043,2012-04-27 13:56:16,"iPhone3,1",5.1,1.1
40.4352264404,-3.68449521065,691.456604004,2012-04-27 14:02:40,"iPhone3,1",5.1,1.1
40.4383087158,-3.69078826904,680.797180176,2012-04-27 14:09:04,"iPhone3,1",5.1,1.1
40.4416770935,-3.70330262184,706.901428223,2012-04-27 14:13:20,"iPhone3,1",5.1,1.1
40.439201355,-3.71215200424,695.765869141,2012-04-27 14:24:00,"iPhone3,1",5.1,1.1
40.5683517456,-3.93016791344,672.034118652,2012-04-27 14:49:36,"iPhone3,1",5.1,1.1
40.6630821228,-4.10410022736,950.267883301,2012-04-27 14:53:52,"iPhone3,1",5.1,1.1
40.7156028748,-4.1833152771,1263.78344727,2012-04-27 15:00:16,"iPhone3,1",5.1,1.1
40.7528419495,-4.35044813156,1176.32336426,2012-04-27 15:04:32,"iPhone3,1",5.1,1.1
40.7755012512,-4.42632961273,1112.73449707,2012-04-27 15:10:56,"iPhone3,1",5.1,1.1
40.8223724365,-4.51051664352,1085.03759766,2012-04-27 15:15:12,"iPhone3,1",5.1,1.1
40.8837738037,-4.57175445557,937.019042969,2012-04-27 15:19:28,"iPhone3,1",5.1,1.1
40.9422874451,-4.58569478989,922.13067627,2012-04-27 15:25:52,"iPhone3,1",5.1,1.1
40.9988250732,-4.65606355667,860.857666016,2012-04-27 15:30:08,"iPhone3,1",5.1,1.1
41.0651741028,-4.70384740829,828.478271484,2012-04-27 15:34:24,"iPhone3,1",5.1,1.1
41.1337165833,-4.77691078186,805.079833984,2012-04-27 15:40:48,"iPhone3,1",5.1,1.1
41.2109069824,-4.8329167366,764.188232422,2012-04-27 15:45:04,"iPhone3,1",5.1,1.1
41.2783126831,-4.89076185226,723.634399414,2012-04-27 15:51:28,"iPhone3,1",5.1,1.1
41.3445472717,-4.94252109528,778.689086914,2012-04-27 15:55:44,"iPhone3,1",5.1,1.1
41.4224205017,-4.9699306488,754.473083496,2012-04-27 16:02:08,"iPhone3,1",5.1,1.1
41.5144233704,-5.02402114868,687.612060547,2012-04-27 16:08:32,"iPhone3,1",5.1,1.1
41.5677986145,-5.09004211426,740.759338379,2012-04-27 16:12:48,"iPhone3,1",5.1,1.1
41.6280136108,-5.17925310135,741.086364746,2012-04-27 16:17:04,"iPhone3,1",5.1,1.1
41.7055931091,-5.23304033279,794.705505371,2012-04-27 16:23:28,"iPhone3,1",5.1,1.1
41.7766036987,-5.31371259689,727.536682129,2012-04-27 16:27:44,"iPhone3,1",5.1,1.1
41.7852478027,-5.32370090485,737.473327637,2012-04-27 16:32:00,"iPhone3,1",5.1,1.1
41.8045387268,-5.35000896454,736.770202637,2012-04-27 16:38:24,"iPhone3,1",5.1,1.1
41.8648681641,-5.43051147461,692.948242188,2012-04-27 16:42:40,"iPhone3,1",5.1,1.1
41.9385757446,-5.54729127884,742.572570801,2012-04-27 16:49:04,"iPhone3,1",5.1,1.1
41.9942016602,-5.64454507828,718.053283691,2012-04-27 16:55:28,"iPhone3,1",5.1,1.1
42.0352249146,-5.6723985672,734.189819336,2012-04-27 16:59:44,"iPhone3,1",5.1,1.1
42.1172714233,-5.72488689423,750.365722656,2012-04-27 17:06:08,"iPhone3,1",5.1,1.1
42.2763938904,-5.84463071823,769.942871094,2012-04-27 17:12:32,"iPhone3,1",5.1,1.1
42.3979949951,-6.00461483002,835.005249023,2012-04-27 17:16:48,"iPhone3,1",5.1,1.1
42.4837150574,-6.11173772812,942.048278809,2012-04-27 17:21:04,"iPhone3,1",5.1,1.1
42.5514335632,-6.17836523056,1102.16320801,2012-04-27 17:27:28,"iPhone3,1",5.1,1.1
42.6103668213,-6.27131795883,953.964050293,2012-04-27 17:31:44,"iPhone3,1",5.1,1.1
42.6095962524,-6.38709068298,685.925720215,2012-04-27 17:36:00,"iPhone3,1",5.1,1.1
42.6008720398,-6.49873828888,614.049804688,2012-04-27 17:42:24,"iPhone3,1",5.1,1.1
42.5798492432,-6.6055970192,632.54083252,2012-04-27 17:48:48,"iPhone3,1",5.1,1.1
42.5720596313,-6.71658420563,483.608856201,2012-04-27 17:55:12,"iPhone3,1",5.1,1.1
42.5393714905,-6.69320964813,453.210021973,2012-04-27 17:59:28,"iPhone3,1",5.1,1.1
42.4658699036,-6.85544872284,517.279968262,2012-04-27 18:10:08,"iPhone3,1",5.1,1.1
42.4450263977,-6.9467382431,503.257385254,2012-04-27 18:16:32,"iPhone3,1",5.1,1.1
42.4229774475,-6.9769525528,422.380126953,2012-04-27 18:20:48,"iPhone3,1",5.1,1.1
42.4176330566,-6.98524713516,335.374908447,2012-04-27 18:25:04,"iPhone3,1",5.1,1.1
42.4221229553,-6.97744226456,339.718536377,2012-04-27 18:48:32,"iPhone3,1",5.1,1.1
42.4413833618,-6.94844818115,442.718597412,2012-04-27 18:52:48,"iPhone3,1",5.1,1.1
