lat,lon,alt,date,device,os,version
40.6837806702,-73.9800033569,49.0116920471,2012-03-18 08:25:36,"iPhone4,1",5.1,1.0
40.6754226685,-73.9622497559,49.1666679382,2012-03-18 08:59:44,"iPhone4,1",5.1,1.0
40.6837806702,-73.9800033569,48.9392166138,2012-03-18 09:25:20,"iPhone4,1",5.1,1.0
40.6754226685,-73.9622344971,49.2222213745,2012-03-18 09:59:28,"iPhone4,1",5.1,1.0
40.6837806702,-73.9800033569,48.9111099243,2012-03-18 10:25:04,"iPhone4,1",5.1,1.0
40.675403595,-73.962272644,49,2012-03-18 10:59:12,"iPhone4,1",5.1,1.0
40.6837806702,-73.9800033569,48.5999984741,2012-03-18 11:24:48,"iPhone4,1",5.1,1.0
40.6754417419,-73.9622268677,48.8888893127,2012-03-18 11:58:56,"iPhone4,1",5.1,1.0
40.68384552,-73.980140686,48.6505050659,2012-03-18 12:24:32,"iPhone4,1",5.1,1.0
40.6754150391,-73.9622955322,49.75,2012-03-18 13:00:48,"iPhone4,1",5.1,1.0
40.6837654114,-73.97996521,49.4518623352,2012-03-18 13:20:00,"iPhone4,1",5.1,1.0
40.6753349304,-73.9621429443,95,2012-03-18 13:24:16,"iPhone4,1",5.1,1.0
40.6836509705,-73.9797515869,173,2012-03-18 13:43:28,"iPhone4,1",5.1,1.0
40.6754341125,-73.9622344971,49.8888893127,2012-03-18 14:06:56,"iPhone4,1",5.1,1.0
40.6838378906,-73.9801177979,30,2012-03-18 14:36:48,"iPhone4,1",5.1,1.0
40.6754302979,-73.9622421265,48.6363639832,2012-03-18 14:47:28,"iPhone4,1",5.1,1.0
40.6814422607,-73.9750289917,48.6363639832,2012-03-18 15:15:12,"iPhone4,1",5.1,1.0
40.6749954224,-73.9614562988,52,2012-03-18 15:28:00,"iPhone4,1",5.1,1.0
40.665763855,-73.9823074341,55.426815033,2012-03-18 15:57:52,"iPhone4,1",5.1,1.0
40.6708297729,-73.9638748169,72.8660049438,2012-03-18 16:04:16,"iPhone4,1",5.1,1.0
40.67710495,-73.9690475464,59.5454559326,2012-03-18 17:55:12,"iPhone4,1",5.1,1.0
40.6757850647,-73.963218689,46,2012-03-18 19:26:56,"iPhone4,1",5.1,1.0
40.6839065552,-73.9802703857,48.9091758728,2012-03-18 23:49:20,"iPhone4,1",5.1,1.0
40.6754379272,-73.9622573853,49.0588226318,2012-03-19 00:00:00,"iPhone4,1",5.1,1.0
40.6832046509,-73.9786911011,55,2012-03-19 00:14:56,"iPhone4,1",5.1,1.0
40.6754455566,-73.9622116089,49.375,2012-03-19 01:08:16,"iPhone4,1",5.1,1.0
40.683681488,-73.9797821045,65,2012-03-19 01:23:12,"iPhone4,1",5.1,1.0
40.6754188538,-73.9622192383,49,2012-03-19 03:07:44,"iPhone4,1",5.1,1.0
40.6838874817,-73.9802322388,49.9738616943,2012-03-19 03:39:44,"iPhone4,1",5.1,1.0
40.6761665344,-73.9638366699,49.1311759949,2012-03-19 03:52:32,"iPhone4,1",5.1,1.0
40.6839065552,-73.9802703857,41,2012-03-19 07:15:12,"iPhone4,1",5.1,1.0
40.6780548096,-73.9676361084,61,2012-03-19 07:30:08,"iPhone4,1",5.1,1.0
